kind,name,baseTypeID,baseTypeName,subTypeID,uniqueId,isSetItem,isWeaversWill,imageFile,imageUrl,localPath,slug
base,Refuge Helmet,0,Helmet,0,,,,mercenary_helmet.png,https://lastepoch.tunklab.com/img/item/mercenary_helmet.png,assets/items/base/mercenary_helmet.png,refuge_helmet
base,Jewelled Circlet,0,Helmet,1,,,,leather_helmet.png,https://lastepoch.tunklab.com/img/item/leather_helmet.png,assets/items/base/leather_helmet.png,jewelled_circlet
base,Iron Casque,0,Helmet,2,,,,iron_helmet.png,https://lastepoch.tunklab.com/img/item/iron_helmet.png,assets/items/base/iron_helmet.png,iron_casque
base,Wolf Helmet,0,Helmet,3,,,,fur_helmet.png,https://lastepoch.tunklab.com/img/item/fur_helmet.png,assets/items/base/fur_helmet.png,wolf_helmet
base,Dome Cap,0,Helmet,4,,,,dome_helmet.png,https://lastepoch.tunklab.com/img/item/dome_helmet.png,assets/items/base/dome_helmet.png,dome_cap
base,Bronze Casque,0,Helmet,5,,,,bronze_helmet.png,https://lastepoch.tunklab.com/img/item/bronze_helmet.png,assets/items/base/bronze_helmet.png,bronze_casque
base,Gladiator Helmet,0,Helmet,6,,,,secutor_helmet.png,https://lastepoch.tunklab.com/img/item/secutor_helmet.png,assets/items/base/secutor_helmet.png,gladiator_helmet
base,Forest Helmet,0,Helmet,7,,,,fur_helmet.png,https://lastepoch.tunklab.com/img/item/fur_helmet.png,assets/items/base/fur_helmet.png,forest_helmet
base,Outcast Cage,0,Helmet,8,,,,outcast_cage.png,https://lastepoch.tunklab.com/img/item/outcast_cage.png,assets/items/base/outcast_cage.png,outcast_cage
base,Bone Mask,0,Helmet,9,,,,bone_mask.png,https://lastepoch.tunklab.com/img/item/bone_mask.png,assets/items/base/bone_mask.png,bone_mask
base,Skull Cage,0,Helmet,10,,,,skull_cage.png,https://lastepoch.tunklab.com/img/item/skull_cage.png,assets/items/base/skull_cage.png,skull_cage
base,Death Mask,0,Helmet,11,,,,death_mask.png,https://lastepoch.tunklab.com/img/item/death_mask.png,assets/items/base/death_mask.png,death_mask
base,Fiend Cowl,0,Helmet,12,,,,fiend_cowl.png,https://lastepoch.tunklab.com/img/item/fiend_cowl.png,assets/items/base/fiend_cowl.png,fiend_cowl
base,Burial Mask,0,Helmet,13,,,,burial_mask.png,https://lastepoch.tunklab.com/img/item/burial_mask.png,assets/items/base/burial_mask.png,burial_mask
base,Profane Crown,0,Helmet,14,,,,profane_crown.png,https://lastepoch.tunklab.com/img/item/profane_crown.png,assets/items/base/profane_crown.png,profane_crown
base,Revenant Mask,0,Helmet,15,,,,revenant_mask.png,https://lastepoch.tunklab.com/img/item/revenant_mask.png,assets/items/base/revenant_mask.png,revenant_mask
base,Copper Circlet,0,Helmet,16,,,,copper_circlet.png,https://lastepoch.tunklab.com/img/item/copper_circlet.png,assets/items/base/copper_circlet.png,copper_circlet
base,Adept Helm,0,Helmet,17,,,,adept_helm.png,https://lastepoch.tunklab.com/img/item/adept_helm.png,assets/items/base/adept_helm.png,adept_helm
base,Keeper Helm,0,Helmet,18,,,,keeper_helm.png,https://lastepoch.tunklab.com/img/item/keeper_helm.png,assets/items/base/keeper_helm.png,keeper_helm
base,Temple Veil,0,Helmet,19,,,,temple_veil.png,https://lastepoch.tunklab.com/img/item/temple_veil.png,assets/items/base/temple_veil.png,temple_veil
base,Lunar Helm,0,Helmet,20,,,,lunar_helm.png,https://lastepoch.tunklab.com/img/item/lunar_helm.png,assets/items/base/lunar_helm.png,lunar_helm
base,Mystic Helm,0,Helmet,21,,,,mystic_helm.png,https://lastepoch.tunklab.com/img/item/mystic_helm.png,assets/items/base/mystic_helm.png,mystic_helm
base,Celestial Helm,0,Helmet,22,,,,celestial_helm.png,https://lastepoch.tunklab.com/img/item/celestial_helm.png,assets/items/base/celestial_helm.png,celestial_helm
base,Runed Visage,0,Helmet,23,,,,runed_visage.png,https://lastepoch.tunklab.com/img/item/runed_visage.png,assets/items/base/runed_visage.png,runed_visage
base,Oak Helm,0,Helmet,24,,,,oak_helm.png,https://lastepoch.tunklab.com/img/item/oak_helm.png,assets/items/base/oak_helm.png,oak_helm
base,Wolf Pelt,0,Helmet,25,,,,wolf_pelt.png,https://lastepoch.tunklab.com/img/item/wolf_pelt.png,assets/items/base/wolf_pelt.png,wolf_pelt
base,Forest Cowl,0,Helmet,26,,,,forest_cowl.png,https://lastepoch.tunklab.com/img/item/forest_cowl.png,assets/items/base/forest_cowl.png,forest_cowl
base,Chitin Helm,0,Helmet,27,,,,chitin_helm.png,https://lastepoch.tunklab.com/img/item/chitin_helm.png,assets/items/base/chitin_helm.png,chitin_helm
base,Raptor Helm,0,Helmet,28,,,,raptor_helm.png,https://lastepoch.tunklab.com/img/item/raptor_helm.png,assets/items/base/raptor_helm.png,raptor_helm
base,Icewolf Pelt,0,Helmet,29,,,,icewolf_pelt.png,https://lastepoch.tunklab.com/img/item/icewolf_pelt.png,assets/items/base/icewolf_pelt.png,icewolf_pelt
base,Darkwolf Pelt,0,Helmet,30,,,,darkwolf_pelt.png,https://lastepoch.tunklab.com/img/item/darkwolf_pelt.png,assets/items/base/darkwolf_pelt.png,darkwolf_pelt
base,Greatwood Visage,0,Helmet,31,,,,greatwood_visage.png,https://lastepoch.tunklab.com/img/item/greatwood_visage.png,assets/items/base/greatwood_visage.png,greatwood_visage
base,Leather Helm,0,Helmet,32,,,,leather_helm.png,https://lastepoch.tunklab.com/img/item/leather_helm.png,assets/items/base/leather_helm.png,leather_helm
base,Infantry Helm,0,Helmet,33,,,,infantry_helm.png,https://lastepoch.tunklab.com/img/item/infantry_helm.png,assets/items/base/infantry_helm.png,infantry_helm
base,Iron Visor,0,Helmet,34,,,,iron_visor.png,https://lastepoch.tunklab.com/img/item/iron_visor.png,assets/items/base/iron_visor.png,iron_visor
base,Full Helm,0,Helmet,35,,,,full_helm.png,https://lastepoch.tunklab.com/img/item/full_helm.png,assets/items/base/full_helm.png,full_helm
